timestamp,wpm,accuracy,actual_duration,duration
20/12/2020 05:52:57,80,95,59.54715394973755,60.0
21/12/2020 05:57:50,80,94,59.673765659332275,60.0
21/12/2020 05:59:55,83,95,59.29191303253174,60.0
21/12/2020 13:45:16,85,94,59.84771394729614,60.0
21/12/2020 13:46:46,82,92,59.38939070701599,60.0
21/12/2020 13:47:54,82,95,58.86776328086853,60.0
21/12/2020 14:27:36,93,90,59.63701677322388,60.0
21/12/2020 14:28:39,96,95,59.78066158294678,60.0
21/12/2020 16:06:29,83,96,59.932077407836914,60.0
22/12/2020 05:55:45,77,94,59.25961208343506,60.0
22/12/2020 05:58:02,80,92,59.37062954902649,60.0
22/12/2020 05:59:24,88,97,59.24705481529236,60.0
23/12/2020 05:57:30,86,97,58.80971717834473,60.0
24/12/2020 05:56:41,82,96,59.76623845100403,60.0
24/12/2020 22:07:54,83,92,59.35947108268738,60.0
25/12/2020 05:53:57,77,92,59.36485815048218,60.0
25/12/2020 05:55:02,75,93,59.13034272193909,60.0
25/12/2020 05:56:12,73,95,59.28232407569885,60.0
25/12/2020 05:57:40,82,96,59.82896685600281,60.0
26/12/2020 10:37:43,89,94,59.782623529434204,60.0
26/12/2020 10:49:14,83,95,60.07324004173279,60.0
26/12/2020 10:51:42,89,96,59.79271340370178,60.0
26/12/2020 13:52:01,90,96,59.76261568069458,60.0
27/12/2020 12:37:33,96,97,59.366074323654175,60.0
27/12/2020 12:40:29,96,98,59.068819522857666,60.0
02/01/2021 18:05:23,96,98,59.5198540687561,60.0
02/01/2021 18:07:09,85,93,59.68136930465698,60.0
02/01/2021 18:08:28,85,95,59.94364404678345,60.0
04/01/2021 13:32:47,97,97,59.415684938430786,60.0
04/01/2021 13:44:51,91,97,60.00281620025635,60.0
04/01/2021 17:41:51,87,92,59.75346326828003,60.0
04/01/2021 17:59:24,95,95,59.567099809646606,60.0
04/01/2021 18:02:11,90,95,59.771344900131226,60.0
04/01/2021 18:04:39,90,94,59.719196796417236,60.0
04/01/2021 18:06:18,91,95,59.937121868133545,60.0
04/01/2021 18:15:22,91,93,58.97958278656006,60.0
04/01/2021 18:16:45,89,94,59.96658968925476,60.0
05/01/2021 07:34:18,91,97,59.61688256263733,60.0
05/01/2021 09:01:47,91,95,59.746376752853394,60.0
05/01/2021 10:34:30,92,92,59.51221442222595,60.0
05/01/2021 10:43:44,97,97,59.42915654182434,60.0
05/01/2021 11:12:19,89,92,60.02201175689697,60.0
05/01/2021 13:36:16,94,96,60.09376621246338,60.0
05/01/2021 13:38:53,91,94,59.134241580963135,60.0
05/01/2021 13:41:33,90,96,59.712361335754395,60.0
05/01/2021 18:41:32,90,94,58.90763807296753,60.0
05/01/2021 18:44:09,98,97,59.597872495651245,60.0
05/01/2021 20:20:16,95,94,59.85992407798767,60.0
05/01/2021 21:16:24,97,93,59.43040347099304,60.0
06/01/2021 09:04:12,86,95,59.82802200317383,60.0
06/01/2021 22:58:17,93,95,59.657063484191895,60.0
07/01/2021 11:02:24,89,92,59.87889838218689,60.0
07/01/2021 11:03:27,96,97,59.51466464996338,60.0
07/01/2021 11:04:37,91,96,59.670543909072876,60.0
07/01/2021 11:07:11,92,93,59.073033571243286,60.0
07/01/2021 11:08:48,93,94,58.94395709037781,60.0
07/01/2021 11:09:55,95,96,58.721959590911865,60.0
07/01/2021 11:37:38,98,97,59.696741819381714,60.0
07/01/2021 11:39:16,95,95,59.711206674575806,60.0
07/01/2021 13:47:06,96,95,59.5058388710022,60.0
07/01/2021 19:08:52,94,97,59.86931133270264,60.0
07/01/2021 19:10:23,90,94,59.44442796707153,60.0
07/01/2021 20:42:36,100,97,59.33979821205139,60.0
08/01/2021 08:27:01,97,96,59.863656997680664,60.0
